h	Omega_M	Omega_L	OmegaK	chi2	
0.7019292311288599	0.3408281574683751	0.7682555523008636	-0.10908370976923876	565.857780678949	
0.7026736820037013	0.33581584489944444	0.7670182587717722	-0.10283410367121659	566.1583187551262	
0.6946551724525916	0.347157760324114	0.7720228468902893	-0.11918060721440338	567.1275752541438	
0.6945046023510208	0.35101054762457723	0.7686080086624659	-0.11961855628704321	567.1993213749456	
0.69594802289568	0.3453656398963341	0.7765713928013096	-0.12193703269764367	565.6482294948665	
0.6979788259801384	0.3526566557996741	0.771394389083254	-0.12405104488292806	564.8455440900798	
0.698417698118008	0.34710190839851485	0.7671842854762111	-0.11428619387472594	564.5032757387905	
0.6986465466442081	0.35754997827663815	0.7680659154311292	-0.12561589370776738	565.7233520747197	
0.6987444704494162	0.36005831875290867	0.7726388226166265	-0.13269714136953525	565.7556694387395	
0.6955842143350186	0.3595702150748397	0.7519219806412644	-0.11149219571610403	566.8741816242189	
0.6966325937060129	0.36582217978038883	0.7525116678325003	-0.11833384761288923	567.5743131361576	
0.6980563623945076	0.3666499673743905	0.7478872541122701	-0.11453722148666057	568.9434801472751	
0.6972935385416171	0.34707282485542584	0.7432294579754071	-0.09030228283083286	565.76969902234	
0.6950335829254726	0.34509470559622474	0.7557527965566094	-0.10084750215283422	566.1310373888468	
0.6962456583545058	0.36153243594933016	0.7619298504680718	-0.12346228641740198	566.4374965471011	
0.6979580186053028	0.352320971968111	0.7702267604890898	-0.12254773245720085	564.864391678497	
0.6976026760006531	0.3484797520009869	0.7821972203196272	-0.13067697232061415	564.4399323423602	
0.7011748634311876	0.34764226079693417	0.7828643862899495	-0.13050664708688364	564.708868916349	
0.7028822223104436	0.34253672434290444	0.7858708795806939	-0.1284076039235984	565.4089062757906	
0.698296571177566	0.3472986336787685	0.7815471166149054	-0.12884575029367384	564.0886284027446	
0.7014413780826004	0.3328417325316416	0.7934891772863749	-0.12633090981801653	562.9617631700711	
0.7040731317852924	0.32483477530673216	0.7907625374777368	-0.11559731278446905	564.2339985749004	
0.7009847770414839	0.3225441627739582	0.7926602783678516	-0.11520444114180983	562.6626073713943	
0.7001261369712384	0.3418845251706492	0.8208034665179497	-0.16268799168859893	563.6629142338863	
0.7037604643468517	0.34406961746068526	0.8172473070116913	-0.16131692447237655	564.0400749410377	
0.6998758998056966	0.34025595636393435	0.8224384133138716	-0.16269436967780593	563.9831320361325	
0.6947491657353514	0.3475371419103251	0.8126311660990103	-0.16016830800933535	570.7040684039966	
0.7010487541607999	0.3455278857075557	0.8059719307515996	-0.15149981645915522	563.301990158114	
0.7008793343151929	0.3422344597024768	0.8033819632701533	-0.1456164229726301	563.1644505522966	
0.6977430677214395	0.3208355902314115	0.7950136665652366	-0.11584925679664815	565.5500659078848	
0.7047941009401858	0.3137902838523157	0.7820201149363866	-0.09581039878870223	564.6764572543896	
0.7017018814363231	0.3144131518732581	0.7695190231256988	-0.08393217499895678	562.7680899112287	
0.703960708343981	0.3099677333338934	0.7720175384170908	-0.08198527175098413	564.070671902539	
0.7042078563487432	0.30260547221035866	0.7739183952847282	-0.07652386749508677	563.677441749298	
0.7014633042043408	0.30518587327448027	0.7901377040981558	-0.09532357737263608	562.8167765245998	
