h	Omega_M	Omega_L	OmegaK	chi2	
0.6826431737920031	0.3511952640932147	0.5882846312631018	0.0605201046436834	587.7097973311752	
0.6856495132250354	0.34749142838194147	0.5862728389341166	0.0662357326839419	583.2684298370143	
0.6909768509393034	0.33827927699965327	0.5906402308500935	0.07108049215025325	581.0240215238066	
0.6891256165423744	0.3357925717394373	0.6014692482651963	0.06273817999536646	577.6533973821163	
0.6882461148522834	0.33585476229932765	0.5994094844827816	0.06473575321789071	578.054138517748	
0.6871172329793154	0.3403043305513792	0.6026307537982998	0.05706491565032101	579.1322623466556	
0.685431828138605	0.34850942853527767	0.6222859966267833	0.029204574837939035	580.9935864645563	
0.6904504935748456	0.3299290504053186	0.6124592007007502	0.05761174889393117	575.0262486202341	
0.686432661669289	0.3392733691977307	0.6147604382800579	0.04596619252221135	578.7003395582605	
0.6942868165952538	0.3331045328859383	0.6183766861250248	0.048518780989036836	578.0271457704507	
0.689080194582734	0.3479788527263848	0.625507492301808	0.026513654971807243	577.2541988677968	
0.6875782695819719	0.34415291688688315	0.6321502040733473	0.02369687903976958	577.0168330094525	
0.6920021304784124	0.35281912418128286	0.6417840341301055	0.005396841688611653	576.6204702172207	
0.6931668889460498	0.35061140294459525	0.644887005878445	0.004501591176959696	576.4268625935615	
0.6888084205627952	0.3409406338126458	0.63888803056759	0.020171335619764252	574.9311703185281	
0.6958188326041836	0.3504969097718609	0.649486930937011	1.6159291128081676e-05	579.1375742252799	
0.6891551688467277	0.34169033295268575	0.6491805551119214	0.009129111935392897	574.0739949374755	
0.688775023105084	0.3431610993201583	0.6677129798870531	-0.010874079207211507	573.962534389289	
0.6954992505267201	0.3395652443618811	0.6751606399570015	-0.014725884318882554	570.9583508087196	
0.6924210117275761	0.3497413424021502	0.6707618430163944	-0.020503185418544678	572.1639241650183	
0.6910592719208454	0.3461358978213459	0.6771186124542816	-0.023254510275627527	571.4886535799253	
0.690624162671857	0.346002335715663	0.6669565005071059	-0.012958836222768833	572.4057084250546	
0.6885462213444671	0.3494493248762752	0.6669943003980453	-0.016443625274320528	574.9120563082553	
0.6882156674794256	0.34743546912658124	0.6890056235406397	-0.03644109266722095	575.2867689424983	
0.6970962281053886	0.346811620541728	0.6886587824237187	-0.03547040296544668	572.2845641870823	
0.6959291024690044	0.35947103979307515	0.6970378443477184	-0.05650888414079358	572.6260692811543	
0.6931654435592398	0.35121178043813783	0.697252628915108	-0.04846440935324581	569.8545724688463	
0.693236548683272	0.3678671668163181	0.6979838330963337	-0.06585099991265175	572.7439472720135	
0.6909702792005173	0.3631193314988042	0.7096916621648438	-0.07281099366364796	572.1231963730922	
0.6956859711508048	0.36586552651023824	0.7182996244936268	-0.08416515100386501	570.8127221560854	
0.6967195697859672	0.36766811045637005	0.704867064151354	-0.07253517460772407	574.3321877669987	
0.6915617989858229	0.3509134376569831	0.6810200936414241	-0.03193353129840726	571.6071105765025	
